priority,match_type,pattern,category,subcategory,discretionary
"30","keyword","BURGER KING","Food and Drink","Fast Food","Yes"
"30","keyword","CARL'S JR","Food and Drink","Fast Food","Yes"
"30","keyword","CARLS JR","Food and Drink","Fast Food","Yes"
"30","keyword","CHICK FIL A","Food and Drink","Fast Food","Yes"
"30","keyword","CHICK-FIL-A","Food and Drink","Fast Food","Yes"
"30","keyword","CHIPOTLE","Food and Drink","Fast Food","Yes"
"30","keyword","DAIRY QUEEN","Food and Drink","Fast Food","Yes"
"30","keyword","DEL TACO","Food and Drink","Fast Food","Yes"
"30","keyword","DOMINO","Food and Drink","Fast Food","Yes"
"30","keyword","EL POLLO LOCO","Food and Drink","Fast Food","Yes"
"30","keyword","FIVE GUYS","Food and Drink","Fast Food","Yes"
"30","keyword","IN N OUT","Food and Drink","Fast Food","Yes"
"30","keyword","IN-N-OUT","Food and Drink","Fast Food","Yes"
"30","keyword","JACK IN THE BOX","Food and Drink","Fast Food","Yes"
"30","keyword","JERSEY MIKE","Food and Drink","Fast Food","Yes"
"30","keyword","JIMMY JOHN","Food and Drink","Fast Food","Yes"
"30","keyword","KENTUCKY FRIED CHICKEN","Food and Drink","Fast Food","Yes"
"30","keyword","KFC","Food and Drink","Fast Food","Yes"
"30","keyword","LITTLE CAESARS","Food and Drink","Fast Food","Yes"
"30","keyword","MCDONALD","Food and Drink","Fast Food","Yes"
"30","keyword","PANDA EXPRESS","Food and Drink","Fast Food","Yes"
"30","keyword","PAPA JOHN","Food and Drink","Fast Food","Yes"
"30","keyword","PIZZA HUT","Food and Drink","Fast Food","Yes"
"30","keyword","POPEYES","Food and Drink","Fast Food","Yes"
"30","keyword","RAISING CANE","Food and Drink","Fast Food","Yes"
"30","keyword","SONIC","Food and Drink","Fast Food","Yes"
"30","keyword","SUBWAY","Food and Drink","Fast Food","Yes"
"30","keyword","TACO BELL","Food and Drink","Fast Food","Yes"
"30","keyword","THE HABIT","Food and Drink","Fast Food","Yes"
"30","keyword","WENDY'S","Food and Drink","Fast Food","Yes"
"30","keyword","WENDYS","Food and Drink","Fast Food","Yes"
"30","keyword","WHATABURGER","Food and Drink","Fast Food","Yes"
"30","keyword","WINGSTOP","Food and Drink","Fast Food","Yes"
"30","keyword","LS HOT LICKS","Food and Drink","General","Yes"
"30","keyword","ROUND TABLE PIZZA","Food and Drink","Pizza","Yes"
"30","keyword","TST HIDEAWAY PIZZA - 18","Food and Drink","Pizza","Yes"
"5","keyword","CTLP CANTEEN VENDING","Food and Drink","Snacks","Yes"
"30","keyword","SAN17 MARKETPLACE","Food and Drink","Snacks","Yes"
"30","keyword","SUGARPHORIA","Food and Drink","Snacks","Yes"
"30","keyword","US NEWS AND WORLD REPORT","Food and Drink","Snacks","Yes"
"30","keyword","WETZEL","Food and Drink","Snacks","Yes"
"30","keyword","COSTCO","Groceries","Groceries","No"
"20","keyword","RALPHS","Groceries","Groceries","No"
"20","keyword","SAFEWAY","Groceries","Groceries","No"
"20","keyword","TRADER JOE","Groceries","Groceries","No"
"20","keyword","VONS","Groceries","Groceries","No"
"20","keyword","WALMART","Groceries","Groceries","No"
"20","keyword","WHOLE FOODS","Groceries","Groceries","No"
"30","keyword","ALDI","Groceries","Groceries","No"
"30","keyword","FOOD4LESS","Groceries","Groceries","No"
"30","keyword","PUBLIX SUPERMARKETS","Groceries","Groceries","No"
"30","keyword","SPROUTS FARMERS MAR","Groceries","Groceries","No"
"30","keyword","VALLEY FARM MARKET","Groceries","Groceries","No"
"30","keyword","WAL-MART","Groceries","Groceries","No"
"30","keyword","WM SUPERCENTER","Groceries","Groceries","No"
"30","keyword","DENTIST|DENTAL","Health","Dental","No"
"30","keyword","YMCA","Health","Gym","Yes"
"30","keyword","PHARMACY|CVS|WALGREENS","Health","Pharmacy","No"
"30","keyword","CVS","Health","Pharmacy","No"
"30","keyword","RITE AID","Health","Pharmacy","No"
"30","keyword","WALGREENS","Health","Pharmacy","No"
"30","keyword","HEART OF THE MATTER","Health","Therapy","Yes"
"30","keyword","98POINT6","Health","Urgent Care","No"
"30","keyword","CALLONDOC.COM","Health","Urgent Care","No"
"30","keyword","IKEA","Home","Furniture","Yes"
"30","keyword","POTTERY BARN","Home","Furniture","Yes"
"30","keyword","WAYFAIR","Home","Furniture","Yes"
"30","keyword","WILLIAMS SONOMA","Home","Furniture","Yes"
"30","keyword","HOMEGOODS","Home","Home goods","Yes"
"30","keyword","BED BATH","Home","Home goods","Yes"
"30","keyword","ACE HARDWARE","Home","Home improvement","Yes"
"30","keyword","HOME DEPOT","Home","Home improvement","Yes"
"30","keyword","LOWE'S","Home","Home improvement","Yes"
"30","keyword","LOWES","Home","Home improvement","Yes"
"30","keyword","MENARDS","Home","Home improvement","Yes"
"30","keyword","PROVIDENT FUNDIN","Home","Mortgage","No"
"30","keyword","GEICO","Insurance","Auto","No"
"30","keyword","PROGRESSIVE","Insurance","Auto","No"
"5","keyword","AMERICAN GEN LIF","Insurance","Life","Yes"
"30","keyword","STATE FARM INSURANCE","Insurance","Life","Yes"
"30","keyword","RLI INSURANCE COMPANY","Insurance","Umbrella","Yes"
"30","keyword","GOOGLE GOOGLE ONE","Services","Cloud Storage","Yes"
"5","keyword","PLANVISION","Services","Financial Advice","Yes"
"30","keyword","THE UPS STORE","Services","Shipping","Yes"
"30","keyword","ANTHROPIC","Services","AI","Yes"
"30","keyword","BITWARDEN","Services","Password Manager","Yes"
"30","keyword","NAME-CHEAP.COM","Services","Web hosting","Yes"
"30","keyword","AMAZON","Shopping","Amazon","Yes"
"5","merchant","AMAZON","Shopping","Amazon","Yes"
"30","keyword","SEPHORA","Shopping","Beauty","Yes"
"30","keyword","ULTA","Shopping","Beauty","Yes"
"30","keyword","BEACHCITY SAN DIEGO","Shopping","Clothing","Yes"
"30","keyword","BR FACTORY US","Shopping","Clothing","Yes"
"30","keyword","DICKS SPORTING GOODS","Shopping","Clothing","Yes"
"30","keyword","FABLETICS","Shopping","Clothing","Yes"
"30","keyword","FAMOUSFOOTWEAR","Shopping","Clothing","Yes"
"30","keyword","H&AMP;M","Shopping","Clothing","Yes"
"30","keyword","REI","Shopping","Clothing","Yes"
"30","keyword","SP BEARY DESIGNS","Shopping","Clothing","Yes"
"30","keyword","SP CELINATRUCKSTOP","Shopping","Clothing","Yes"
"30","keyword","SP MACK WELDON","Shopping","Clothing","Yes"
"30","keyword","SPACE NEEDLE EXP","Shopping","Clothing","Yes"
"30","keyword","THE IRON SN","Shopping","Clothing","Yes"
"30","keyword","TILLYS","Shopping","Clothing","Yes"
"30","keyword","UNA HERMOSA MEXICANA U","Shopping","Clothing","Yes"
"30","keyword","ABERCROMBIE","Shopping","Clothing","Yes"
"30","keyword","AMERICAN EAGLE","Shopping","Clothing","Yes"
"30","keyword","BANANA REPUBLIC","Shopping","Clothing","Yes"
"30","keyword","BURLINGTON","Shopping","Clothing","Yes"
"30","keyword","DSW","Shopping","Clothing","Yes"
"30","keyword","FOOT LOCKER","Shopping","Clothing","Yes"
"30","keyword","FOREVER 21","Shopping","Clothing","Yes"
"30","keyword","GAP","Shopping","Clothing","Yes"
"30","keyword","H&M","Shopping","Clothing","Yes"
"30","keyword","HOLLISTER","Shopping","Clothing","Yes"
"30","keyword","J C PENNEY","Shopping","Clothing","Yes"
"30","keyword","JCPENNEY","Shopping","Clothing","Yes"
"30","keyword","KOHL'S","Shopping","Clothing","Yes"
"30","keyword","KOHLS","Shopping","Clothing","Yes"
"30","keyword","LULULEMON","Shopping","Clothing","Yes"
"30","keyword","MACY'S","Shopping","Clothing","Yes"
"30","keyword","MACYS","Shopping","Clothing","Yes"
"30","keyword","MARSHALLS","Shopping","Clothing","Yes"
